AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,EXTRANJERO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,SIN REGISTRO,TACNA,TUMBES,UCAYALI
3.0,19.0,9.0,35.0,7.0,14.0,12.0,18.0,0.0,8.0,9.0,13.0,26.0,31.0,10.0,185.0,13.0,4.0,8.0,5.0,39.0,19.0,11.0,0.0,8.0,2.0,5.0
3.0,20.0,10.0,34.0,12.0,14.0,16.0,12.0,1.0,9.0,10.0,16.0,18.0,30.0,11.0,209.0,13.0,3.0,3.0,6.0,39.0,27.0,15.0,1.0,3.0,4.0,1.0
4.0,34.0,8.0,22.0,9.0,9.0,21.0,26.0,0.0,10.0,17.0,16.0,23.0,30.0,8.0,179.0,9.0,1.0,5.0,1.0,27.0,31.0,11.0,1.0,5.0,9.0,7.0
7.0,27.0,11.0,25.0,5.0,17.0,21.0,24.0,1.0,4.0,14.0,10.0,25.0,29.0,15.0,210.0,7.0,3.0,7.0,5.0,39.0,26.0,10.0,1.0,4.0,2.0,7.0
2.0,26.0,12.0,36.0,7.0,21.0,13.0,21.0,0.0,7.0,10.0,21.0,26.0,30.0,11.0,185.0,12.0,2.0,3.0,11.0,29.0,27.0,5.0,1.0,5.0,5.0,5.0
4.0,19.0,9.0,20.0,12.0,23.0,27.0,15.0,1.0,6.0,22.0,21.0,22.0,30.0,9.0,166.0,12.0,3.0,6.0,5.0,31.0,31.0,9.0,0.0,3.0,2.0,8.0
0.0,26.0,8.0,23.0,6.0,16.0,25.0,22.0,0.0,6.0,25.0,23.0,35.0,29.0,6.0,215.0,10.0,2.0,6.0,8.0,35.0,15.0,5.0,2.0,3.0,3.0,4.0
3.0,24.0,15.0,36.0,4.0,14.0,18.0,37.0,0.0,6.0,19.0,27.0,25.0,30.0,13.0,209.0,11.0,4.0,6.0,5.0,32.0,28.0,12.0,0.0,6.0,2.0,5.0
2.0,23.0,13.0,35.0,9.0,12.0,24.0,24.0,1.0,6.0,17.0,17.0,17.0,33.0,8.0,241.0,4.0,1.0,8.0,5.0,35.0,22.0,9.0,0.0,5.0,1.0,11.0
4.0,35.0,9.0,25.0,9.0,14.0,23.0,31.0,0.0,7.0,12.0,18.0,41.0,40.0,15.0,216.0,9.0,3.0,3.0,6.0,34.0,22.0,12.0,0.0,8.0,8.0,5.0
4.0,24.0,8.0,36.0,12.0,21.0,24.0,22.0,0.0,7.0,33.0,13.0,25.0,28.0,12.0,234.0,8.0,5.0,6.0,9.0,48.0,22.0,9.0,2.0,7.0,8.0,6.0
0.0,24.0,7.0,34.0,8.0,12.0,26.0,26.0,0.0,2.0,19.0,22.0,31.0,40.0,13.0,230.0,9.0,0.0,6.0,8.0,51.0,22.0,8.0,1.0,6.0,4.0,5.0
2.0,33.0,10.0,39.0,9.0,14.0,28.0,32.0,1.0,11.0,26.0,29.0,35.0,35.0,12.0,234.0,10.0,1.0,7.0,5.0,29.0,21.0,6.0,0.0,10.0,7.0,6.0
4.0,28.0,8.0,35.0,7.0,15.0,23.0,22.0,0.0,10.0,21.0,17.0,35.0,32.0,15.0,227.0,6.0,1.0,6.0,2.0,34.0,32.0,12.0,0.0,5.0,7.0,6.0
4.0,31.0,7.0,24.0,9.0,19.0,27.0,20.0,0.0,7.0,23.0,18.0,46.0,33.0,10.0,259.0,13.0,0.0,2.0,6.0,35.0,23.0,12.0,2.0,11.0,3.0,8.0
2.0,37.0,12.0,33.0,14.0,17.0,29.0,25.0,1.0,7.0,26.0,33.0,31.0,27.0,8.0,284.0,13.0,4.0,4.0,13.0,27.0,24.0,14.0,0.0,5.0,6.0,7.0
5.0,31.0,13.0,41.0,18.0,18.0,30.0,31.0,0.0,10.0,24.0,24.0,28.0,40.0,10.0,276.0,12.0,4.0,7.0,13.0,60.0,22.0,12.0,0.0,4.0,1.0,6.0
3.0,26.0,14.0,28.0,9.0,15.0,37.0,24.0,1.0,2.0,27.0,28.0,34.0,45.0,15.0,326.0,3.0,5.0,3.0,7.0,37.0,38.0,11.0,1.0,12.0,4.0,4.0
6.0,39.0,20.0,30.0,10.0,26.0,38.0,25.0,2.0,9.0,27.0,36.0,54.0,38.0,11.0,282.0,12.0,2.0,6.0,9.0,36.0,32.0,12.0,1.0,9.0,4.0,5.0
1.0,31.0,9.0,45.0,10.0,13.0,28.0,28.0,0.0,7.0,35.0,18.0,45.0,52.0,10.0,305.0,11.0,5.0,3.0,10.0,33.0,32.0,15.0,1.0,8.0,5.0,8.0
4.0,28.0,12.0,35.0,4.0,15.0,41.0,37.0,1.0,10.0,28.0,35.0,45.0,49.0,10.0,324.0,11.0,2.0,11.0,8.0,41.0,35.0,12.0,0.0,8.0,6.0,11.0
4.0,34.0,13.0,22.0,10.0,18.0,42.0,30.0,1.0,14.0,22.0,31.0,50.0,41.0,8.0,336.0,8.0,2.0,12.0,4.0,31.0,36.0,7.0,2.0,10.0,3.0,6.0
4.0,36.0,12.0,42.0,11.0,20.0,35.0,26.0,3.0,5.0,19.0,38.0,47.0,41.0,12.0,394.0,11.0,4.0,5.0,8.0,44.0,27.0,10.0,0.0,11.0,7.0,8.0
2.0,30.0,6.0,38.0,11.0,17.0,28.0,16.0,2.0,11.0,24.0,30.0,50.0,47.0,14.0,376.0,14.0,4.0,10.0,5.0,46.0,36.0,18.0,1.0,13.0,7.0,7.0
1.0,30.0,11.0,45.0,10.0,18.0,43.0,37.0,1.0,14.0,31.0,42.0,46.0,57.0,14.0,426.0,17.0,2.0,6.0,7.0,39.0,47.0,12.0,0.0,12.0,10.0,10.0
5.0,40.0,8.0,48.0,9.0,13.0,35.0,32.0,1.0,10.0,34.0,50.0,35.0,41.0,14.0,371.0,12.0,3.0,13.0,6.0,37.0,42.0,7.0,0.0,14.0,3.0,7.0
2.0,33.0,15.0,42.0,10.0,21.0,35.0,34.0,1.0,10.0,33.0,40.0,51.0,41.0,16.0,376.0,16.0,1.0,7.0,9.0,37.0,38.0,15.0,2.0,21.0,9.0,10.0
4.0,39.0,13.0,43.0,10.0,22.0,43.0,28.0,1.0,8.0,23.0,51.0,46.0,49.0,12.0,395.0,11.0,1.0,10.0,7.0,51.0,40.0,7.0,3.0,8.0,8.0,9.0
4.0,30.0,8.0,41.0,10.0,15.0,43.0,41.0,3.0,16.0,24.0,45.0,53.0,33.0,14.0,406.0,17.0,2.0,7.0,7.0,42.0,43.0,10.0,3.0,12.0,4.0,9.0
4.0,47.0,9.0,52.0,16.0,18.0,42.0,24.0,0.0,10.0,28.0,50.0,57.0,40.0,17.0,419.0,22.0,3.0,8.0,6.0,41.0,42.0,11.0,1.0,10.0,3.0,6.0
6.0,31.0,16.0,50.0,14.0,17.0,45.0,36.0,5.0,15.0,34.0,49.0,58.0,41.0,12.0,411.0,14.0,4.0,8.0,7.0,49.0,38.0,13.0,1.0,15.0,2.0,8.0
4.0,31.0,12.0,67.0,15.0,21.0,37.0,42.0,3.0,18.0,33.0,44.0,58.0,46.0,14.0,431.0,25.0,1.0,9.0,10.0,38.0,41.0,11.0,0.0,19.0,6.0,8.0
5.0,37.0,6.0,42.0,12.0,28.0,47.0,25.0,3.0,10.0,24.0,47.0,50.0,42.0,10.0,409.0,16.0,2.0,8.0,4.0,35.0,33.0,9.0,1.0,13.0,8.0,9.0
6.0,35.0,13.0,44.0,16.0,20.0,47.0,35.0,0.0,13.0,31.0,45.0,42.0,44.0,17.0,388.0,10.0,3.0,11.0,5.0,35.0,31.0,12.0,1.0,8.0,9.0,11.0
